Tennessee August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,3.79
197508,2.68
197608,1.23
197708,-1.30
197808,0.80
197908,3.63
198008,-1.88
198108,-1.06
198208,0.83
198308,0.73
198408,1.64
198508,-0.59
198608,-3.07
198708,-3.09
198808,-3.80
198908,4.00
199008,1.12
199108,1.94
199208,2.02
199308,-1.48
199408,3.43
199508,0.83
199608,1.92
199708,3.41
199808,3.45
199908,-1.21
200008,-2.26
200108,-0.97
200208,-1.36
200308,3.91
200408,2.85
200508,1.94
200608,-1.82
200708,-4.96
200808,-2.20
200908,2.04
201008,1.08
201108,0.60
201208,-2.70
201308,3.92
201408,2.58
201508,2.40
201608,0.93
201708,2.00
201808,2.44
201908,4.55
202008,4.64
202108,3.79
202208,1.64
202308,1.93
