New Hampshire August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,1.38
197508,0.79
197608,2.32
197708,-0.89
197808,-1.33
197908,-0.79
198008,-2.52
198108,1.61
198208,1.35
198308,1.30
198408,2.85
198508,-2.06
198608,1.84
198708,0.05
198808,1.58
198908,1.60
199008,2.95
199108,1.90
199208,-0.57
199308,-1.76
199408,0.40
199508,-2.72
199608,2.89
199708,2.45
199808,1.77
199908,-2.34
200008,1.91
200108,-2.40
200208,-2.20
200308,-0.78
200408,1.83
200508,2.12
200608,5.55
200708,2.84
200808,4.92
200908,5.22
201008,1.36
201108,3.76
201208,-0.69
201308,2.05
201408,2.27
201508,-0.68
201608,-1.79
201708,1.41
201808,0.84
201908,2.28
202008,-1.65
202108,2.44
202208,-1.37
202308,3.86
